Notes,Year,Year Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2018,2018,5 years,5,Female,F,230,1960607,11.731
,2018,2018,5 years,5,Male,M,294,2049511,14.345
Total,2018,2018,5 years,5,,,524,4010118,13.067
,2018,2018,6 years,6,Female,F,212,1963030,10.8
,2018,2018,6 years,6,Male,M,248,2052229,12.084
Total,2018,2018,6 years,6,,,460,4015259,11.456
,2018,2018,7 years,7,Female,F,176,1983207,8.875
,2018,2018,7 years,7,Male,M,243,2076156,11.704
Total,2018,2018,7 years,7,,,419,4059363,10.322
,2018,2018,8 years,8,Female,F,221,1986003,11.128
,2018,2018,8 years,8,Male,M,236,2069621,11.403
Total,2018,2018,8 years,8,,,457,4055624,11.268
,2018,2018,9 years,9,Female,F,205,1986805,10.318
,2018,2018,9 years,9,Male,M,265,2068473,12.811
Total,2018,2018,9 years,9,,,470,4055278,11.59
,2018,2018,10 years,10,Female,F,222,2049181,10.834
,2018,2018,10 years,10,Male,M,249,2134896,11.663
Total,2018,2018,10 years,10,,,471,4184077,11.257
,2018,2018,11 years,11,Female,F,247,2056222,12.012
,2018,2018,11 years,11,Male,M,247,2146785,11.506
Total,2018,2018,11 years,11,,,494,4203007,11.753
,2018,2018,12 years,12,Female,F,252,2038862,12.36
,2018,2018,12 years,12,Male,M,337,2129623,15.824
Total,2018,2018,12 years,12,,,589,4168485,14.13
,2018,2018,13 years,13,Female,F,283,2034962,13.907
,2018,2018,13 years,13,Male,M,393,2121925,18.521
Total,2018,2018,13 years,13,,,676,4156887,16.262
,2018,2018,14 years,14,Female,F,321,2041460,15.724
,2018,2018,14 years,14,Male,M,569,2125611,26.769
Total,2018,2018,14 years,14,,,890,4167071,21.358
,2018,2018,15 years,15,Female,F,397,2029592,19.561
,2018,2018,15 years,15,Male,M,789,2111626,37.365
Total,2018,2018,15 years,15,,,1186,4141218,28.639
,2018,2018,16 years,16,Female,F,472,2023998,23.32
,2018,2018,16 years,16,Male,M,1021,2106746,48.463
Total,2018,2018,16 years,16,,,1493,4130744,36.144
,2018,2018,17 years,17,Female,F,594,2076491,28.606
,2018,2018,17 years,17,Male,M,1434,2165445,66.222
Total,2018,2018,17 years,17,,,2028,4241936,47.808
,2018,2018,18 years,18,Female,F,730,2109928,34.598
,2018,2018,18 years,18,Male,M,1971,2209794,89.194
Total,2018,2018,18 years,18,,,2701,4319722,62.527
,2018,2018,19 years,19,Female,F,807,2082304,38.755
,2018,2018,19 years,19,Male,M,2165,2181297,99.253
Total,2018,2018,19 years,19,,,2972,4263601,69.706
,2018,2018,20 years,20,Female,F,890,2087209,42.641
,2018,2018,20 years,20,Male,M,2383,2186613,108.981
Total,2018,2018,20 years,20,,,3273,4273822,76.583
,2018,2018,21 years,21,Female,F,946,2098900,45.071
,2018,2018,21 years,21,Male,M,2775,2193614,126.504
Total,2018,2018,21 years,21,,,3721,4292514,86.686
,2018,2018,22 years,22,Female,F,1010,2115157,47.751
,2018,2018,22 years,22,Male,M,2950,2219586,132.908
Total,2018,2018,22 years,22,,,3960,4334743,91.355
,2018,2018,23 years,23,Female,F,1110,2162394,51.332
,2018,2018,23 years,23,Male,M,3142,2276330,138.029
Total,2018,2018,23 years,23,,,4252,4438724,95.793
,2018,2018,24 years,24,Female,F,1190,2208372,53.886
,2018,2018,24 years,24,Male,M,3378,2325404,145.265
Total,2018,2018,24 years,24,,,4568,4533776,100.755
,2018,2018,25 years,25,Female,F,1298,2240559,57.932
,2018,2018,25 years,25,Male,M,3546,2365722,149.891
Total,2018,2018,25 years,25,,,4844,4606281,105.161
,2018,2018,26 years,26,Female,F,1458,2307677,63.18
,2018,2018,26 years,26,Male,M,3772,2421037,155.801
Total,2018,2018,26 years,26,,,5230,4728714,110.601
,2018,2018,27 years,27,Female,F,1582,2362325,66.968
,2018,2018,27 years,27,Male,M,4117,2451655,167.927
Total,2018,2018,27 years,27,,,5699,4813980,118.384
,2018,2018,28 years,28,Female,F,1687,2362288,71.414
,2018,2018,28 years,28,Male,M,4142,2439423,169.794
Total,2018,2018,28 years,28,,,5829,4801711,121.394
,2018,2018,29 years,29,Female,F,1807,2270069,79.601
,2018,2018,29 years,29,Male,M,4052,2341001,173.088
Total,2018,2018,29 years,29,,,5859,4611070,127.064
,2018,2018,30 years,30,Female,F,1902,2218983,85.715
,2018,2018,30 years,30,Male,M,4198,2282299,183.937
Total,2018,2018,30 years,30,,,6100,4501282,135.517
,2018,2018,31 years,31,Female,F,1870,2180487,85.761
,2018,2018,31 years,31,Male,M,4089,2241062,182.458
Total,2018,2018,31 years,31,,,5959,4421549,134.772
,2018,2018,32 years,32,Female,F,2064,2188295,94.32
,2018,2018,32 years,32,Male,M,4235,2245454,188.603
Total,2018,2018,32 years,32,,,6299,4433749,142.069
,2018,2018,33 years,33,Female,F,2140,2209229,96.866
,2018,2018,33 years,33,Male,M,4338,2252017,192.627
Total,2018,2018,33 years,33,,,6478,4461246,145.206
,2018,2018,34 years,34,Female,F,2172,2147153,101.157
,2018,2018,34 years,34,Male,M,4375,2171039,201.516
Total,2018,2018,34 years,34,,,6547,4318192,151.614
,2018,2018,35 years,35,Female,F,2393,2180901,109.725
,2018,2018,35 years,35,Male,M,4697,2195500,213.938
Total,2018,2018,35 years,35,,,7090,4376401,162.005
,2018,2018,36 years,36,Female,F,2509,2181088,115.034
,2018,2018,36 years,36,Male,M,4696,2185835,214.838
Total,2018,2018,36 years,36,,,7205,4366923,164.99
,2018,2018,37 years,37,Female,F,2584,2158541,119.71
,2018,2018,37 years,37,Male,M,4879,2154545,226.452
Total,2018,2018,37 years,37,,,7463,4313086,173.032
,2018,2018,38 years,38,Female,F,2711,2190232,123.777
,2018,2018,38 years,38,Male,M,5124,2201174,232.785
Total,2018,2018,38 years,38,,,7835,4391406,178.417
,2018,2018,39 years,39,Female,F,2897,2062635,140.451
,2018,2018,39 years,39,Male,M,5127,2053136,249.716
Total,2018,2018,39 years,39,,,8024,4115771,194.957
,2018,2018,40 years,40,Female,F,2867,2022766,141.737
,2018,2018,40 years,40,Male,M,5040,2008548,250.928
Total,2018,2018,40 years,40,,,7907,4031314,196.14
,2018,2018,41 years,41,Female,F,2987,2006441,148.871
,2018,2018,41 years,41,Male,M,5198,1979715,262.563
Total,2018,2018,41 years,41,,,8185,3986156,205.336
,2018,2018,42 years,42,Female,F,3097,1945641,159.176
,2018,2018,42 years,42,Male,M,5196,1920426,270.565
Total,2018,2018,42 years,42,,,8293,3866067,214.507
,2018,2018,43 years,43,Female,F,3413,1999241,170.715
,2018,2018,43 years,43,Male,M,5489,1980368,277.171
Total,2018,2018,43 years,43,,,8902,3979609,223.69
,2018,2018,44 years,44,Female,F,3546,1942802,182.52
,2018,2018,44 years,44,Male,M,5930,1908353,310.739
Total,2018,2018,44 years,44,,,9476,3851155,246.056
,2018,2018,45 years,45,Female,F,4032,1975992,204.049
,2018,2018,45 years,45,Male,M,6477,1928049,335.935
Total,2018,2018,45 years,45,,,10509,3904041,269.183
,2018,2018,46 years,46,Female,F,4615,2059393,224.095
,2018,2018,46 years,46,Male,M,7310,2015066,362.767
Total,2018,2018,46 years,46,,,11925,4074459,292.677
,2018,2018,47 years,47,Female,F,5077,2175691,233.351
,2018,2018,47 years,47,Male,M,8172,2125627,384.451
Total,2018,2018,47 years,47,,,13249,4301318,308.022
,2018,2018,48 years,48,Female,F,5463,2192223,249.199
,2018,2018,48 years,48,Male,M,8719,2157491,404.127
Total,2018,2018,48 years,48,,,14182,4349714,326.044
,2018,2018,49 years,49,Female,F,5717,2079841,274.877
,2018,2018,49 years,49,Male,M,9291,2037762,455.941
Total,2018,2018,49 years,49,,,15008,4117603,364.484
,2018,2018,50 years,50,Female,F,6122,2036538,300.608
,2018,2018,50 years,50,Male,M,9701,1989936,487.503
Total,2018,2018,50 years,50,,,15823,4026474,392.974
,2018,2018,51 years,51,Female,F,6938,2042479,339.685
,2018,2018,51 years,51,Male,M,10605,1982590,534.906
Total,2018,2018,51 years,51,,,17543,4025069,435.843
,2018,2018,52 years,52,Female,F,7568,2077402,364.301
,2018,2018,52 years,52,Male,M,11936,2016677,591.865
Total,2018,2018,52 years,52,,,19504,4094079,476.395
,2018,2018,53 years,53,Female,F,8559,2201960,388.699
,2018,2018,53 years,53,Male,M,13554,2131415,635.916
Total,2018,2018,53 years,53,,,22113,4333375,510.295
,2018,2018,54 years,54,Female,F,9716,2248978,432.018
,2018,2018,54 years,54,Male,M,15265,2156589,707.831
Total,2018,2018,54 years,54,,,24981,4405567,567.033
,2018,2018,55 years,55,Female,F,10576,2248963,470.261
,2018,2018,55 years,55,Male,M,16734,2145020,780.133
Total,2018,2018,55 years,55,,,27310,4393983,621.532
,2018,2018,56 years,56,Female,F,11699,2244572,521.213
,2018,2018,56 years,56,Male,M,18158,2132558,851.466
Total,2018,2018,56 years,56,,,29857,4377130,682.114
,2018,2018,57 years,57,Female,F,12654,2274643,556.307
,2018,2018,57 years,57,Male,M,19889,2148167,925.859
Total,2018,2018,57 years,57,,,32543,4422810,735.799
,2018,2018,58 years,58,Female,F,13478,2287131,589.297
,2018,2018,58 years,58,Male,M,21133,2165907,975.711
Total,2018,2018,58 years,58,,,34611,4453038,777.245
,2018,2018,59 years,59,Female,F,14295,2216349,644.98
,2018,2018,59 years,59,Male,M,22347,2077675,1075.577
Total,2018,2018,59 years,59,,,36642,4294024,853.325
,2018,2018,60 years,60,Female,F,15164,2204821,687.766
,2018,2018,60 years,60,Male,M,23537,2054540,1145.609
Total,2018,2018,60 years,60,,,38701,4259361,908.61
,2018,2018,61 years,61,Female,F,16209,2184082,742.142
,2018,2018,61 years,61,Male,M,25083,2018812,1242.463
Total,2018,2018,61 years,61,,,41292,4202894,982.466
,2018,2018,62 years,62,Female,F,16737,2109543,793.395
,2018,2018,62 years,62,Male,M,26097,1933853,1349.482
Total,2018,2018,62 years,62,,,42834,4043396,1059.357
,2018,2018,63 years,63,Female,F,17658,2091595,844.236
,2018,2018,63 years,63,Male,M,27437,1908640,1437.516
Total,2018,2018,63 years,63,,,45095,4000235,1127.309
,2018,2018,64 years,64,Female,F,18093,2012074,899.221
,2018,2018,64 years,64,Male,M,27858,1813691,1535.984
Total,2018,2018,64 years,64,,,45951,3825765,1201.093
,2018,2018,65 years,65,Female,F,18893,1935507,976.127
,2018,2018,65 years,65,Male,M,28364,1734093,1635.668
Total,2018,2018,65 years,65,,,47257,3669600,1287.797
,2018,2018,66 years,66,Female,F,19488,1857985,1048.878
,2018,2018,66 years,66,Male,M,29154,1658451,1757.905
Total,2018,2018,66 years,66,,,48642,3516436,1383.276
,2018,2018,67 years,67,Female,F,20398,1803359,1131.111
,2018,2018,67 years,67,Male,M,29459,1595396,1846.501
Total,2018,2018,67 years,67,,,49857,3398755,1466.92
,2018,2018,68 years,68,Female,F,21238,1755485,1209.808
,2018,2018,68 years,68,Male,M,29869,1552348,1924.118
Total,2018,2018,68 years,68,,,51107,3307833,1545.03
,2018,2018,69 years,69,Female,F,22681,1699744,1334.377
,2018,2018,69 years,69,Male,M,31702,1494525,2121.209
Total,2018,2018,69 years,69,,,54383,3194269,1702.518
,2018,2018,70 years,70,Female,F,24851,1674714,1483.895
,2018,2018,70 years,70,Male,M,33290,1469752,2265.008
Total,2018,2018,70 years,70,,,58141,3144466,1848.994
,2018,2018,71 years,71,Female,F,27574,1738342,1586.224
,2018,2018,71 years,71,Male,M,36251,1522210,2381.472
Total,2018,2018,71 years,71,,,63825,3260552,1957.491
,2018,2018,72 years,72,Female,F,23635,1285319,1838.843
,2018,2018,72 years,72,Male,M,30308,1106964,2737.939
Total,2018,2018,72 years,72,,,53943,2392283,2254.875
,2018,2018,73 years,73,Female,F,24854,1266423,1962.535
,2018,2018,73 years,73,Male,M,31179,1078210,2891.737
Total,2018,2018,73 years,73,,,56033,2344633,2389.841
,2018,2018,74 years,74,Female,F,27255,1229353,2217.02
,2018,2018,74 years,74,Male,M,33335,1034136,3223.464
Total,2018,2018,74 years,74,,,60590,2263489,2676.841
,2018,2018,75 years,75,Female,F,30233,1251144,2416.428
,2018,2018,75 years,75,Male,M,36291,1042460,3481.285
Total,2018,2018,75 years,75,,,66524,2293604,2900.413
,2018,2018,76 years,76,Female,F,29114,1087069,2678.211
,2018,2018,76 years,76,Male,M,34251,890943,3844.354
Total,2018,2018,76 years,76,,,63365,1978012,3203.469
,2018,2018,77 years,77,Female,F,29172,991039,2943.577
,2018,2018,77 years,77,Male,M,33845,795142,4256.472
Total,2018,2018,77 years,77,,,63017,1786181,3528.03
,2018,2018,78 years,78,Female,F,29931,929716,3219.37
,2018,2018,78 years,78,Male,M,33257,736686,4514.406
Total,2018,2018,78 years,78,,,63188,1666402,3791.882
,2018,2018,79 years,79,Female,F,31323,863424,3627.766
,2018,2018,79 years,79,Male,M,34328,679443,5052.374
Total,2018,2018,79 years,79,,,65651,1542867,4255.13
,2018,2018,80 years,80,Female,F,32969,821411,4013.703
,2018,2018,80 years,80,Male,M,35018,630172,5556.896
Total,2018,2018,80 years,80,,,67987,1451583,4683.645
,2018,2018,81 years,81,Female,F,33960,749613,4530.338
,2018,2018,81 years,81,Male,M,34624,561875,6162.225
Total,2018,2018,81 years,81,,,68584,1311488,5229.48
,2018,2018,82 years,82,Female,F,35918,707051,5079.973
,2018,2018,82 years,82,Male,M,35372,517114,6840.271
Total,2018,2018,82 years,82,,,71290,1224165,5823.561
,2018,2018,83 years,83,Female,F,37682,669490,5628.463
,2018,2018,83 years,83,Male,M,35491,474179,7484.726
Total,2018,2018,83 years,83,,,73173,1143669,6398.092
,2018,2018,84 years,84,Female,F,37715,589377,6399.13
,2018,2018,84 years,84,Male,M,34711,407026,8527.956
Total,2018,2018,84 years,84,,,72426,996403,7268.746
,2018,2018,85 years,85,Female,F,39910,Not Applicable,Not Applicable
,2018,2018,85 years,85,Male,M,35113,Not Applicable,Not Applicable
Total,2018,2018,85 years,85,,,75023,Not Applicable,Not Applicable
,2018,2018,86 years,86,Female,F,41504,Not Applicable,Not Applicable
,2018,2018,86 years,86,Male,M,35139,Not Applicable,Not Applicable
Total,2018,2018,86 years,86,,,76643,Not Applicable,Not Applicable
,2018,2018,87 years,87,Female,F,43316,Not Applicable,Not Applicable
,2018,2018,87 years,87,Male,M,34673,Not Applicable,Not Applicable
Total,2018,2018,87 years,87,,,77989,Not Applicable,Not Applicable
,2018,2018,88 years,88,Female,F,44841,Not Applicable,Not Applicable
,2018,2018,88 years,88,Male,M,34258,Not Applicable,Not Applicable
Total,2018,2018,88 years,88,,,79099,Not Applicable,Not Applicable
,2018,2018,89 years,89,Female,F,44546,Not Applicable,Not Applicable
,2018,2018,89 years,89,Male,M,31816,Not Applicable,Not Applicable
Total,2018,2018,89 years,89,,,76362,Not Applicable,Not Applicable
,2018,2018,90 years,90,Female,F,44795,Not Applicable,Not Applicable
,2018,2018,90 years,90,Male,M,29999,Not Applicable,Not Applicable
Total,2018,2018,90 years,90,,,74794,Not Applicable,Not Applicable
,2018,2018,91 years,91,Female,F,43599,Not Applicable,Not Applicable
,2018,2018,91 years,91,Male,M,27236,Not Applicable,Not Applicable
Total,2018,2018,91 years,91,,,70835,Not Applicable,Not Applicable
,2018,2018,92 years,92,Female,F,40559,Not Applicable,Not Applicable
,2018,2018,92 years,92,Male,M,23641,Not Applicable,Not Applicable
Total,2018,2018,92 years,92,,,64200,Not Applicable,Not Applicable
,2018,2018,93 years,93,Female,F,38039,Not Applicable,Not Applicable
,2018,2018,93 years,93,Male,M,20766,Not Applicable,Not Applicable
Total,2018,2018,93 years,93,,,58805,Not Applicable,Not Applicable
,2018,2018,94 years,94,Female,F,34273,Not Applicable,Not Applicable
,2018,2018,94 years,94,Male,M,17162,Not Applicable,Not Applicable
Total,2018,2018,94 years,94,,,51435,Not Applicable,Not Applicable
,2018,2018,95 years,95,Female,F,29842,Not Applicable,Not Applicable
,2018,2018,95 years,95,Male,M,13731,Not Applicable,Not Applicable
Total,2018,2018,95 years,95,,,43573,Not Applicable,Not Applicable
,2018,2018,96 years,96,Female,F,25380,Not Applicable,Not Applicable
,2018,2018,96 years,96,Male,M,10958,Not Applicable,Not Applicable
Total,2018,2018,96 years,96,,,36338,Not Applicable,Not Applicable
,2018,2018,97 years,97,Female,F,20824,Not Applicable,Not Applicable
,2018,2018,97 years,97,Male,M,8084,Not Applicable,Not Applicable
Total,2018,2018,97 years,97,,,28908,Not Applicable,Not Applicable
,2018,2018,98 years,98,Female,F,15743,Not Applicable,Not Applicable
,2018,2018,98 years,98,Male,M,5564,Not Applicable,Not Applicable
Total,2018,2018,98 years,98,,,21307,Not Applicable,Not Applicable
,2018,2018,99 years,99,Female,F,11237,Not Applicable,Not Applicable
,2018,2018,99 years,99,Male,M,3483,Not Applicable,Not Applicable
Total,2018,2018,99 years,99,,,14720,Not Applicable,Not Applicable
,2018,2018,100+ years,100,Female,F,24554,Not Applicable,Not Applicable
,2018,2018,100+ years,100,Male,M,5695,Not Applicable,Not Applicable
Total,2018,2018,100+ years,100,,,30249,Not Applicable,Not Applicable
,2018,2018,Not Stated,NS,Female,F,35,Not Applicable,Not Applicable
,2018,2018,Not Stated,NS,Male,M,109,Not Applicable,Not Applicable
Total,2018,2018,Not Stated,NS,,,144,Not Applicable,Not Applicable
Total,2018,2018,,,,,2839205,327167434,867.814
,2019,2019,< 1 year,0,Female,F,9247,1847935,500.396
,2019,2019,< 1 year,0,Male,M,11674,1935117,603.271
Total,2019,2019,< 1 year,0,,,20921,3783052,553.019
,2019,2019,1 year,1,Female,F,649,1871014,34.687
,2019,2019,1 year,1,Male,M,825,1958585,42.122
Total,2019,2019,1 year,1,,,1474,3829599,38.49
,2019,2019,2 years,2,Female,F,401,1916500,20.924
,2019,2019,2 years,2,Male,M,515,2005544,25.679
Total,2019,2019,2 years,2,,,916,3922044,23.355
,2019,2019,3 years,3,Female,F,320,1955655,16.363
,2019,2019,3 years,3,Male,M,390,2043010,19.089
Total,2019,2019,3 years,3,,,710,3998665,17.756
,2019,2019,4 years,4,Female,F,265,1976372,13.408
,2019,2019,4 years,4,Male,M,311,2066951,15.046
Total,2019,2019,4 years,4,,,576,4043323,14.246
,2019,2019,5 years,5,Female,F,245,1967081,12.455
,2019,2019,5 years,5,Male,M,291,2061200,14.118
Total,2019,2019,5 years,5,,,536,4028281,13.306
,2019,2019,6 years,6,Female,F,224,1964271,11.404
,2019,2019,6 years,6,Male,M,266,2052956,12.957
Total,2019,2019,6 years,6,,,490,4017227,12.197
,2019,2019,7 years,7,Female,F,196,1966584,9.967
,2019,2019,7 years,7,Male,M,243,2055735,11.821
Total,2019,2019,7 years,7,,,439,4022319,10.914
,2019,2019,8 years,8,Female,F,184,1986471,9.263
,2019,2019,8 years,8,Male,M,251,2079723,12.069
Total,2019,2019,8 years,8,,,435,4066194,10.698
,2019,2019,9 years,9,Female,F,194,1988726,9.755
,2019,2019,9 years,9,Male,M,239,2073148,11.528
Total,2019,2019,9 years,9,,,433,4061874,10.66
,2019,2019,10 years,10,Female,F,189,1989162,9.501
,2019,2019,10 years,10,Male,M,291,2071778,14.046
Total,2019,2019,10 years,10,,,480,4060940,11.82
,2019,2019,11 years,11,Female,F,212,2051224,10.335
,2019,2019,11 years,11,Male,M,324,2138037,15.154
Total,2019,2019,11 years,11,,,536,4189261,12.795
,2019,2019,12 years,12,Female,F,250,2058568,12.144
,2019,2019,12 years,12,Male,M,351,2149819,16.327
Total,2019,2019,12 years,12,,,601,4208387,14.281
,2019,2019,13 years,13,Female,F,293,2042234,14.347
,2019,2019,13 years,13,Male,M,394,2132987,18.472
Total,2019,2019,13 years,13,,,687,4175221,16.454
,2019,2019,14 years,14,Female,F,324,2038819,15.892
,2019,2019,14 years,14,Male,M,536,2125640,25.216
Total,2019,2019,14 years,14,,,860,4164459,20.651
,2019,2019,15 years,15,Female,F,383,2045739,18.722
,2019,2019,15 years,15,Male,M,754,2129720,35.404
Total,2019,2019,15 years,15,,,1137,4175459,27.231
,2019,2019,16 years,16,Female,F,445,2034255,21.875
,2019,2019,16 years,16,Male,M,1040,2116165,49.146
Total,2019,2019,16 years,16,,,1485,4150420,35.78
,2019,2019,17 years,17,Female,F,533,2029872,26.258
,2019,2019,17 years,17,Male,M,1353,2112553,64.046
Total,2019,2019,17 years,17,,,1886,4142425,45.529
,2019,2019,18 years,18,Female,F,760,2083442,36.478
,2019,2019,18 years,18,Male,M,1972,2172385,90.776
Total,2019,2019,18 years,18,,,2732,4255827,64.194
,2019,2019,19 years,19,Female,F,776,2115655,36.679
,2019,2019,19 years,19,Male,M,2242,2214784,101.229
Total,2019,2019,19 years,19,,,3018,4330439,69.693
,2019,2019,20 years,20,Female,F,861,2086544,41.264
,2019,2019,20 years,20,Male,M,2452,2183139,112.315
Total,2019,2019,20 years,20,,,3313,4269683,77.594
,2019,2019,21 years,21,Female,F,950,2091237,45.428
,2019,2019,21 years,21,Male,M,2871,2187086,131.271
Total,2019,2019,21 years,21,,,3821,4278323,89.311
,2019,2019,22 years,22,Female,F,973,2103476,46.257
,2019,2019,22 years,22,Male,M,2909,2195296,132.511
Total,2019,2019,22 years,22,,,3882,4298772,90.305
,2019,2019,23 years,23,Female,F,1167,2119886,55.05
,2019,2019,23 years,23,Male,M,2979,2221758,134.083
Total,2019,2019,23 years,23,,,4146,4341644,95.494
,2019,2019,24 years,24,Female,F,1175,2167045,54.221
,2019,2019,24 years,24,Male,M,3176,2277473,139.453
Total,2019,2019,24 years,24,,,4351,4444518,97.896
,2019,2019,25 years,25,Female,F,1271,2213205,57.428
,2019,2019,25 years,25,Male,M,3481,2325853,149.666
Total,2019,2019,25 years,25,,,4752,4539058,104.691
,2019,2019,26 years,26,Female,F,1390,2245334,61.906
,2019,2019,26 years,26,Male,M,3696,2365886,156.221
Total,2019,2019,26 years,26,,,5086,4611220,110.296
,2019,2019,27 years,27,Female,F,1519,2312599,65.684
,2019,2019,27 years,27,Male,M,3864,2421270,159.586
Total,2019,2019,27 years,27,,,5383,4733869,113.712
,2019,2019,28 years,28,Female,F,1628,2366969,68.78
,2019,2019,28 years,28,Male,M,4129,2451756,168.41
Total,2019,2019,28 years,28,,,5757,4818725,119.471
,2019,2019,29 years,29,Female,F,1719,2366339,72.644
,2019,2019,29 years,29,Male,M,4272,2439805,175.096
Total,2019,2019,29 years,29,,,5991,4806144,124.653
,2019,2019,30 years,30,Female,F,1882,2273519,82.779
,2019,2019,30 years,30,Male,M,4301,2340865,183.735
Total,2019,2019,30 years,30,,,6183,4614384,133.994
,2019,2019,31 years,31,Female,F,1943,2220984,87.484
,2019,2019,31 years,31,Male,M,4282,2281327,187.698
Total,2019,2019,31 years,31,,,6225,4502311,138.262
,2019,2019,32 years,32,Female,F,1994,2181619,91.4
,2019,2019,32 years,32,Male,M,4269,2239886,190.59
Total,2019,2019,32 years,32,,,6263,4421505,141.649
,2019,2019,33 years,33,Female,F,2273,2189693,103.805
,2019,2019,33 years,33,Male,M,4410,2243280,196.587
Total,2019,2019,33 years,33,,,6683,4432973,150.757
,2019,2019,34 years,34,Female,F,2208,2210880,99.87
,2019,2019,34 years,34,Male,M,4647,2249252,206.602
Total,2019,2019,34 years,34,,,6855,4460132,153.695
,2019,2019,35 years,35,Female,F,2327,2148244,108.321
,2019,2019,35 years,35,Male,M,4671,2167622,215.49
Total,2019,2019,35 years,35,,,6998,4315866,162.146
,2019,2019,36 years,36,Female,F,2472,2181076,113.339
,2019,2019,36 years,36,Male,M,4854,2191368,221.505
Total,2019,2019,36 years,36,,,7326,4372444,167.549
,2019,2019,37 years,37,Female,F,2626,2180124,120.452
,2019,2019,37 years,37,Male,M,5066,2181162,232.262
Total,2019,2019,37 years,37,,,7692,4361286,176.37
,2019,2019,38 years,38,Female,F,2896,2156217,134.309
,2019,2019,38 years,38,Male,M,5281,2149359,245.701
Total,2019,2019,38 years,38,,,8177,4305576,189.917
,2019,2019,39 years,39,Female,F,3076,2186919,140.655
,2019,2019,39 years,39,Male,M,5369,2195430,244.553
Total,2019,2019,39 years,39,,,8445,4382349,192.705
,2019,2019,40 years,40,Female,F,3011,2058650,146.261
,2019,2019,40 years,40,Male,M,5628,2046663,274.984
Total,2019,2019,40 years,40,,,8639,4105313,210.435
,2019,2019,41 years,41,Female,F,3071,2018752,152.124
,2019,2019,41 years,41,Male,M,5385,2001502,269.048
Total,2019,2019,41 years,41,,,8456,4020254,210.335
,2019,2019,42 years,42,Female,F,3136,2002157,156.631
,2019,2019,42 years,42,Male,M,5655,1972584,286.68
Total,2019,2019,42 years,42,,,8791,3974741,221.172
,2019,2019,43 years,43,Female,F,3370,1940751,173.644
,2019,2019,43 years,43,Male,M,5558,1913289,290.495
Total,2019,2019,43 years,43,,,8928,3854040,231.653
,2019,2019,44 years,44,Female,F,3565,1994174,178.771
,2019,2019,44 years,44,Male,M,5969,1973101,302.519
Total,2019,2019,44 years,44,,,9534,3967275,240.316
,2019,2019,45 years,45,Female,F,3861,1937417,199.286
,2019,2019,45 years,45,Male,M,6309,1900492,331.967
Total,2019,2019,45 years,45,,,10170,3837909,264.988
,2019,2019,46 years,46,Female,F,4261,1970074,216.286
,2019,2019,46 years,46,Male,M,6937,1919298,361.434
Total,2019,2019,46 years,46,,,11198,3889372,287.913
,2019,2019,47 years,47,Female,F,4786,2052817,233.143
,2019,2019,47 years,47,Male,M,7793,2005221,388.635
Total,2019,2019,47 years,47,,,12579,4058038,309.977
,2019,2019,48 years,48,Female,F,5542,2168043,255.622
,2019,2019,48 years,48,Male,M,8843,2114614,418.185
Total,2019,2019,48 years,48,,,14385,4282657,335.89
,2019,2019,49 years,49,Female,F,5931,2184045,271.56
,2019,2019,49 years,49,Male,M,9476,2145730,441.621
Total,2019,2019,49 years,49,,,15407,4329775,355.838
,2019,2019,50 years,50,Female,F,6211,2071196,299.875
,2019,2019,50 years,50,Male,M,9940,2025376,490.773
Total,2019,2019,50 years,50,,,16151,4096572,394.256
,2019,2019,51 years,51,Female,F,6545,2027460,322.818
,2019,2019,51 years,51,Male,M,10653,1976883,538.879
Total,2019,2019,51 years,51,,,17198,4004343,429.484
,2019,2019,52 years,52,Female,F,7183,2033163,353.292
,2019,2019,52 years,52,Male,M,11605,1968619,589.5
Total,2019,2019,52 years,52,,,18788,4001782,469.491
,2019,2019,53 years,53,Female,F,8043,2067526,389.016
,2019,2019,53 years,53,Male,M,12550,2001325,627.085
Total,2019,2019,53 years,53,,,20593,4068851,506.113
,2019,2019,54 years,54,Female,F,9183,2191195,419.086
,2019,2019,54 years,54,Male,M,14741,2114408,697.169
Total,2019,2019,54 years,54,,,23924,4305603,555.648
,2019,2019,55 years,55,Female,F,10259,2236979,458.61
,2019,2019,55 years,55,Male,M,16534,2137586,773.489
Total,2019,2019,55 years,55,,,26793,4374565,612.472
,2019,2019,56 years,56,Female,F,11173,2235893,499.711
,2019,2019,56 years,56,Male,M,17793,2125123,837.269
Total,2019,2019,56 years,56,,,28966,4361016,664.203
,2019,2019,57 years,57,Female,F,12317,2230590,552.186
,2019,2019,57 years,57,Male,M,19341,2111795,915.856
Total,2019,2019,57 years,57,,,31658,4342385,729.046
,2019,2019,58 years,58,Female,F,13439,2259796,594.7
,2019,2019,58 years,58,Male,M,20908,2125774,983.548
Total,2019,2019,58 years,58,,,34347,4385570,783.182
,2019,2019,59 years,59,Female,F,14210,2271644,625.538
,2019,2019,59 years,59,Male,M,22479,2142211,1049.336
Total,2019,2019,59 years,59,,,36689,4413855,831.223
,2019,2019,60 years,60,Female,F,15391,2199986,699.595
,2019,2019,60 years,60,Male,M,23299,2052677,1135.054
Total,2019,2019,60 years,60,,,38690,4252663,909.783
,2019,2019,61 years,61,Female,F,16341,2187221,747.112
